Date,Time,Description
"Thursday, January 11, 2024","08:30 AM","Consumer Price Index for December 2023"
"Tuesday, February 13, 2024","08:30 AM","Consumer Price Index for January 2024"
"Tuesday, March 12, 2024","08:30 AM","Consumer Price Index for February 2024"
"Wednesday, April 10, 2024","08:30 AM","Consumer Price Index for March 2024"
"Wednesday, May 15, 2024","08:30 AM","Consumer Price Index for April 2024"
"Wednesday, June 12, 2024","08:30 AM","Consumer Price Index for May 2024"
"Thursday, July 11, 2024","08:30 AM","Consumer Price Index for June 2024"
"Wednesday, August 14, 2024","08:30 AM","Consumer Price Index for July 2024"
"Wednesday, September 11, 2024","08:30 AM","Consumer Price Index for August 2024"
"Thursday, October 10, 2024","08:30 AM","Consumer Price Index for September 2024"
"Wednesday, November 13, 2024","08:30 AM","Consumer Price Index for October 2024"
"Wednesday, December 11, 2024","08:30 AM","Consumer Price Index for November 2024"
